Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Sample_Well,Sentrix_ID,Sentrix_Position
SPN2T,,SPN,,,202226320010,R01C01
SPN3T,,SPN,,,202226320010,R02C01
SPN4T,,SPN,,,202226320010,R03C01
SPN5T,,SPN,,,202226320010,R04C01
SPN6T,,SPN,,,202226320010,R05C01
SPN7T,,SPN,,,202226320010,R06C01
SPN8T,,SPN,,,202226320010,R07C01
SPN9T,,SPN,,,202226320010,R08C01
SPN10T,,SPN,,,202226320016,R01C01
SPN11T,,SPN,,,202226320016,R02C01
SPN12T,,SPN,,,202226320016,R03C01
SPN13T,,SPN,,,202226320016,R04C01
SPN14T,,SPN,,,202226320016,R05C01
