array_id,source,sample_name,platform,label,location
9373550141_R01C01,Chan,A_mk11,Illumina_450k,PanNET,primary
9373550141_R02C01,Chan,A_mk12,Illumina_450k,PanNET,metastasis
9934398017_R04C02,Chan,A_mk4,Illumina_450k,PanNET,primary
9373550141_R06C02,Chan,A_mk47,Illumina_450k,PanNET,primary
9373550141_R02C02,Chan,AM1_mk36,Illumina_450k,PanNET,primary
9933448113_R06C02,Chan,AM1_mk53,Illumina_450k,PanNET,metastasis
9934398017_R04C01,Chan,D_LS21,Illumina_450k,PanNET,primary
9373550141_R04C01,Chan,D_mk18,Illumina_450k,PanNET,primary
9933448113_R03C02,Chan,D_mk26,Illumina_450k,PanNET,metastasis
9933448113_R04C02,Chan,D_mk34,Illumina_450k,PanNET,metastasis
9373550141_R04C02,Chan,D_mk42,Illumina_450k,PanNET,metastasis
9373550165_R01C01,Chan,D_mk51,Illumina_450k,PanNET,metastasis
9933448113_R06C01,Chan,D_mk9,Illumina_450k,PanNET,primary
9933448070_R05C02,Chan,DM1_LS7,Illumina_450k,PanNET,metastasis
9933448113_R01C02,Chan,DM1_mk17,Illumina_450k,PanNET,primary
9933448113_R05C02,Chan,DM1_mk44,Illumina_450k,PanNET,metastasis
9373550141_R05C02,Chan,DM1_mk45,Illumina_450k,PanNET,primary
9934398010_R06C02,Chan,DM1_mk52,Illumina_450k,PanNET,primary
9933448070_R04C02,Chan,M1_LS1,Illumina_450k,PanNET,primary
9373550165_R02C01,Chan,WT_LS27,Illumina_450k,PanNET,primary
9933448113_R03C01,Chan,WT_LS35,Illumina_450k,PanNET,metastasis
9373550165_R03C01,Chan,WT_LS39,Illumina_450k,PanNET,primary
9934398017_R01C02,Chan,WT_LS65,Illumina_450k,PanNET,primary
9934398010_R03C01,Chan,WT_mk13,Illumina_450k,PanNET,primary
9933448070_R02C01,Chan,WT_mk15,Illumina_450k,PanNET,primary
9934398010_R04C01,Chan,WT_mk19,Illumina_450k,PanNET,primary
9934398010_R05C01,Chan,WT_mk21,Illumina_450k,PanNET,primary
9934398010_R01C02,Chan,WT_mk27,Illumina_450k,PanNET,primary
9934398010_R05C02,Chan,WT_mk39,Illumina_450k,PanNET,primary
9933448070_R02C02,Chan,WT_mk49,Illumina_450k,PanNET,primary
9933448070_R03C02,Chan,WT_mk50,Illumina_450k,PanNET,primary
9934398010_R01C01,Chan,WT_mk8,Illumina_450k,PanNET,primary
