array_id,source,sample_name,platform,label,location
3999720043_R05C01,Endo,GSM4699789,Illumina_450k,NORM,pancreas
3999720043_R01C02,Endo,GSM4699790,Illumina_450k,NORM,pancreas
3999720043_R03C02,Endo,GSM4699791,Illumina_450k,NORM,pancreas
3999720043_R05C02,Endo,GSM4699792,Illumina_450k,NORM,pancreas
3999720050_R01C01,Endo,GSM4699793,Illumina_450k,NORM,pancreas
3999720050_R03C01,Endo,GSM4699794,Illumina_450k,NORM,pancreas
3999720031_R06C01,Endo,GSM4699795,Illumina_450k,NORM,pancreas
3999720031_R04C01,Endo,GSM4699796,Illumina_450k,NORM,pancreas
3999720031_R02C02,Endo,GSM4699797,Illumina_450k,NORM,pancreas
3999720031_R04C02,Endo,GSM4699798,Illumina_450k,NORM,pancreas
3999720044_R01C02,Endo,GSM4699799,Illumina_450k,NORM,pancreas
3999720031_R06C02,Endo,GSM4699800,Illumina_450k,NORM,pancreas
3999720044_R03C02,Endo,GSM4699801,Illumina_450k,NORM,pancreas
3999720048_R02C01,Endo,GSM4699802,Illumina_450k,NORM,pancreas
3999720048_R04C01,Endo,GSM4699803,Illumina_450k,NORM,pancreas
3999720048_R06C01,Endo,GSM4699804,Illumina_450k,NORM,pancreas
3999720048_R02C02,Endo,GSM4699805,Illumina_450k,NORM,pancreas
3999720048_R04C02,Endo,GSM4699806,Illumina_450k,NORM,pancreas
3999720048_R06C02,Endo,GSM4699807,Illumina_450k,NORM,pancreas
3999720070_R02C01,Endo,GSM4699808,Illumina_450k,NORM,pancreas
3999720070_R04C01,Endo,GSM4699809,Illumina_450k,NORM,pancreas
3999720044_R05C02,Endo,GSM4699810,Illumina_450k,NORM,pancreas
3999720044_R06C02,Endo,GSM4699811,Illumina_450k,NORM,pancreas
3999720011_R02C01,Endo,GSM4699812,Illumina_450k,NORM,pancreas
3999720061_R02C01,Endo,GSM4699813,Illumina_450k,NORM,pancreas
3999720061_R03C01,Endo,GSM4699814,Illumina_450k,NORM,pancreas
3999720076_R01C01,Endo,GSM4699815,Illumina_450k,NORM,pancreas
3999720076_R02C01,Endo,GSM4699816,Illumina_450k,NORM,pancreas
3999720011_R04C02,Endo,GSM4699817,Illumina_450k,NORM,pancreas
3999720061_R05C01,Endo,GSM4699818,Illumina_450k,NORM,pancreas
3999720061_R01C02,Endo,GSM4699819,Illumina_450k,NORM,pancreas
3999720061_R03C02,Endo,GSM4699820,Illumina_450k,NORM,pancreas
3999720061_R05C02,Endo,GSM4699821,Illumina_450k,NORM,pancreas
3999720076_R04C01,Endo,GSM4699822,Illumina_450k,NORM,pancreas
3999720012_R04C01,Endo,GSM4699823,Illumina_450k,PDAC,primary
3999720012_R04C02,Endo,GSM4699824,Illumina_450k,PDAC,primary
3999720011_R05C02,Endo,GSM4699825,Illumina_450k,PDAC,primary
3999720011_R06C02,Endo,GSM4699826,Illumina_450k,PDAC,primary
3999720043_R01C01,Endo,GSM4699827,Illumina_450k,PDAC,primary
3999720043_R02C01,Endo,GSM4699828,Illumina_450k,PDAC,primary
3999720043_R03C01,Endo,GSM4699829,Illumina_450k,PDAC,primary
3999720010_R01C01,Endo,GSM4699830,Illumina_450k,PDAC,primary
3999720010_R02C01,Endo,GSM4699832,Illumina_450k,PDAC,primary
3999720010_R03C01,Endo,GSM4699835,Illumina_450k,PDAC,primary
3999720010_R04C01,Endo,GSM4699838,Illumina_450k,PDAC,primary
3999720010_R05C01,Endo,GSM4699841,Illumina_450k,PDAC,primary
3999720010_R01C02,Endo,GSM4699844,Illumina_450k,PDAC,primary
3999720010_R06C01,Endo,GSM4699847,Illumina_450k,PDAC,primary
3999720010_R02C02,Endo,GSM4699850,Illumina_450k,PDAC,primary
3999720010_R03C02,Endo,GSM4699853,Illumina_450k,PDAC,primary
3999720010_R05C02,Endo,GSM4699856,Illumina_450k,PDAC,primary
3999720010_R06C02,Endo,GSM4699859,Illumina_450k,PDAC,primary
3999720031_R01C01,Endo,GSM4699861,Illumina_450k,PDAC,primary
3999720031_R02C01,Endo,GSM4699864,Illumina_450k,PDAC,primary
3999720043_R04C01,Endo,GSM4699868,Illumina_450k,PDAC,primary
3999720043_R06C01,Endo,GSM4699870,Illumina_450k,PDAC,primary
3999720012_R01C01,Endo,GSM4699873,Illumina_450k,PDAC,primary
3999720012_R02C01,Endo,GSM4699876,Illumina_450k,PDAC,primary
3999720012_R05C01,Endo,GSM4699879,Illumina_450k,PDAC,primary
3999720043_R02C02,Endo,GSM4699882,Illumina_450k,PDAC,primary
3999720001_R01C01,Endo,GSM4699885,Illumina_450k,PDAC,primary
3999720012_R01C02,Endo,GSM4699887,Illumina_450k,PDAC,primary
3999720012_R02C02,Endo,GSM4699890,Illumina_450k,PDAC,primary
3999720043_R06C02,Endo,GSM4699894,Illumina_450k,PDAC,primary
3999720012_R03C02,Endo,GSM4699897,Illumina_450k,PDAC,primary
3999423004_R01C01,Endo,GSM4699900,Illumina_450k,PDAC,primary
3999720012_R06C02,Endo,GSM4699902,Illumina_450k,PDAC,primary
3999720050_R02C01,Endo,GSM4699905,Illumina_450k,PDAC,primary
3999720044_R02C01,Endo,GSM4699908,Illumina_450k,PDAC,primary
3999720031_R05C01,Endo,GSM4699911,Illumina_450k,PDAC,primary
3999720044_R03C01,Endo,GSM4699914,Illumina_450k,PDAC,primary
3999720010_R04C02,Endo,GSM4699918,Illumina_450k,PDAC,primary
3999720012_R05C02,Endo,GSM4699921,Illumina_450k,PDAC,primary
3999720031_R03C01,Endo,GSM4699923,Illumina_450k,PDAC,primary
3999720044_R04C01,Endo,GSM4699925,Illumina_450k,PDAC,primary
3999720031_R01C02,Endo,GSM4699926,Illumina_450k,PDAC,primary
3999720044_R06C01,Endo,GSM4699927,Illumina_450k,PDAC,primary
3999720082_R03C02,Endo,GSM4699928,Illumina_450k,PDAC,primary
3999720082_R04C02,Endo,GSM4699929,Illumina_450k,PDAC,primary
3999720082_R05C02,Endo,GSM4699930,Illumina_450k,PDAC,primary
3999720001_R02C01,Endo,GSM4699931,Illumina_450k,PDAC,primary
3999720031_R03C02,Endo,GSM4699932,Illumina_450k,PDAC,primary
3999720001_R03C01,Endo,GSM4699933,Illumina_450k,PDAC,primary
3999720001_R04C01,Endo,GSM4699934,Illumina_450k,PDAC,primary
3999720001_R05C01,Endo,GSM4699935,Illumina_450k,PDAC,primary
3999720001_R06C01,Endo,GSM4699936,Illumina_450k,PDAC,primary
3999720001_R01C02,Endo,GSM4699937,Illumina_450k,PDAC,primary
3999720001_R04C02,Endo,GSM4699938,Illumina_450k,PDAC,primary
3999720001_R05C02,Endo,GSM4699939,Illumina_450k,PDAC,primary
3999720001_R06C02,Endo,GSM4699940,Illumina_450k,PDAC,primary
3999720031_R05C02,Endo,GSM4699941,Illumina_450k,PDAC,primary
3999720011_R06C01,Endo,GSM4699942,Illumina_450k,PDAC,primary
3999720011_R01C02,Endo,GSM4699943,Illumina_450k,PDAC,primary
3999720044_R02C02,Endo,GSM4699944,Illumina_450k,PDAC,primary
3999720033_R01C01,Endo,GSM4699945,Illumina_450k,PDAC,primary
3999720048_R01C01,Endo,GSM4699946,Illumina_450k,PDAC,primary
3999720033_R02C01,Endo,GSM4699947,Illumina_450k,PDAC,primary
3999720048_R03C01,Endo,GSM4699948,Illumina_450k,PDAC,primary
3999720048_R05C01,Endo,GSM4699949,Illumina_450k,PDAC,primary
3999720048_R01C02,Endo,GSM4699950,Illumina_450k,PDAC,primary
3999720048_R03C02,Endo,GSM4699951,Illumina_450k,PDAC,primary
3999720048_R05C02,Endo,GSM4699952,Illumina_450k,PDAC,primary
3999720070_R01C01,Endo,GSM4699953,Illumina_450k,PDAC,primary
3999720070_R03C01,Endo,GSM4699954,Illumina_450k,PDAC,primary
3999720033_R03C01,Endo,GSM4699955,Illumina_450k,PDAC,primary
3999720044_R04C02,Endo,GSM4699956,Illumina_450k,PDAC,primary
3999720011_R01C01,Endo,GSM4699957,Illumina_450k,PDAC,primary
3999720061_R01C01,Endo,GSM4699958,Illumina_450k,PDAC,primary
3999720033_R04C01,Endo,GSM4699959,Illumina_450k,PDAC,primary
3999720061_R06C02,Endo,GSM4699960,Illumina_450k,PDAC,primary
3999720011_R03C02,Endo,GSM4699961,Illumina_450k,PDAC,primary
3999720061_R04C01,Endo,GSM4699962,Illumina_450k,PDAC,primary
3999720061_R06C01,Endo,GSM4699963,Illumina_450k,PDAC,primary
3999720061_R02C02,Endo,GSM4699964,Illumina_450k,PDAC,primary
3999720061_R04C02,Endo,GSM4699965,Illumina_450k,PDAC,primary
3999720082_R06C02,Endo,GSM4699966,Illumina_450k,PDAC,primary
