array_id,source,sample_name,platform,label,location
200069280190_R01C01,DiDomenico,UB01,NA,PanNET,primary
200069280190_R02C01,DiDomenico,UB02,NA,PanNET,primary
200069280190_R03C01,DiDomenico,UB04,NA,PanNET,primary
200069280190_R04C01,DiDomenico,UB06,NA,PanNET,primary
200071610011_R01C01,DiDomenico,UB07,NA,PanNET,primary
200071610011_R02C01,DiDomenico,UB08,NA,PanNET,primary
200069280190_R05C01,DiDomenico,UB09,NA,PanNET,primary
200069280190_R06C01,DiDomenico,UB10,NA,PanNET,primary
200069280233_R03C01,DiDomenico,UB11,NA,PanNET,primary
200069280190_R01C02,DiDomenico,UB12,NA,PanNET,primary
200069280190_R02C02,DiDomenico,UB13,NA,PanNET,primary
200069280190_R03C02,DiDomenico,UB14,NA,PanNET,primary
200069280190_R04C02,DiDomenico,UB15,NA,PanNET,primary
200069280190_R05C02,DiDomenico,UB17,NA,PanNET,primary
200069280190_R06C02,DiDomenico,UB18,NA,PanNET,primary
200071610011_R04C01,DiDomenico,UB19,NA,PanNET,primary
200069280233_R04C01,DiDomenico,UB20,NA,PanNET,primary
200069280233_R05C01,DiDomenico,UB21,NA,PanNET,primary
200071610011_R05C01,DiDomenico,UB22,NA,PanNET,primary
200071610011_R02C02,DiDomenico,UB27,NA,PanNET,primary
200071610011_R03C02,DiDomenico,UB28,NA,PanNET,primary
200069280233_R02C02,DiDomenico,UB31,NA,PanNET,primary
200069280233_R03C02,DiDomenico,UB32,NA,PanNET,primary
200069280233_R04C02,DiDomenico,UB33,NA,PanNET,primary
3998426105_R01C01,DiDomenico,UB37,NA,PanNET,primary
3998426105_R02C01,DiDomenico,UB38,NA,PanNET,primary
3998426105_R05C02,DiDomenico,UB47,NA,PanNET,primary
7990895052_R02C01,DiDomenico,UCL06,NA,PanNET,primary
7990895053_R06C01,DiDomenico,UCL10,NA,PanNET,primary
7990895053_R02C01,DiDomenico,UCL22,NA,PanNET,primary
7990895052_R01C02,DiDomenico,UCL24,NA,PanNET,primary
9305651119_R01C02,DiDomenico,UCL27,NA,PanNET,primary
7990895052_R06C01,DiDomenico,UCL32,NA,PanNET,primary
9305651134_R01C01,DiDomenico,UCL34,NA,PanNET,primary
9305651096_R04C01,DiDomenico,UCL37,NA,PanNET,primary
9305651119_R06C02,DiDomenico,UCL43,NA,PanNET,primary
9305651134_R03C02,DiDomenico,UCL45,NA,PanNET,primary
9305651091_R05C02,DiDomenico,UCL46,NA,PanNET,primary
7990895052_R03C02,DiDomenico,UCL52,NA,PanNET,primary
9305651091_R01C01,DiDomenico,UCL56,NA,PanNET,primary
9305651134_R05C01,DiDomenico,UCL57,NA,PanNET,primary
9305651091_R05C01,DiDomenico,UCL62,NA,PanNET,primary
9305651119_R02C01,DiDomenico,UCL69,NA,PanNET,primary
9305651091_R02C01,DiDomenico,UCL70,NA,PanNET,primary
7990895053_R04C01,DiDomenico,UCL71,NA,PanNET,primary
9305651096_R06C02,DiDomenico,UCL72,NA,PanNET,primary
200071610011_R06C02,DiDomenico,UB36,NA,NORM,pancreas
3998426105_R03C01,DiDomenico,UB39,NA,NORM,pancreas
3998426105_R05C01,DiDomenico,UB41,NA,NORM,pancreas
3998426105_R06C01,DiDomenico,UB42,NA,NORM,pancreas
7990895027_R04C01,DiDomenico,UCL20,NA,NORM,pancreas
9305651096_R05C01,DiDomenico,UCL36,NA,NORM,pancreas
9305651096_R01C01,DiDomenico,UCL39,NA,NORM,pancreas
9305651091_R06C02,DiDomenico,UCL47,NA,NORM,pancreas
7990895027_R01C01,DiDomenico,UCL48,NA,NORM,pancreas
9305651134_R06C01,DiDomenico,UCL58,NA,NORM,pancreas
9305651091_R04C01,DiDomenico,UCL63,NA,NORM,pancreas
9305651134_R02C01,DiDomenico,UCL65,NA,NORM,pancreas
9305651091_R06C01,DiDomenico,UCL67,NA,NORM,pancreas
9305651119_R01C01,DiDomenico,UCL73,NA,NORM,pancreas
