array_id,source,sample_name,platform,label,location
201325940022_R01C01,Yachida,201325940022_R01C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R02C01,Yachida,201325940022_R02C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R03C01,Yachida,201325940022_R03C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R04C01,Yachida,201325940022_R04C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R05C01,Yachida,201325940022_R05C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R06C01,Yachida,201325940022_R06C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R07C01,Yachida,201325940022_R07C01,Illumina_EPIC,PanNEC,pancreas
201325940022_R08C01,Yachida,201325940022_R08C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R01C01,Yachida,201325940068_R01C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R02C01,Yachida,201325940068_R02C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R03C01,Yachida,201325940068_R03C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R04C01,Yachida,201325940068_R04C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R05C01,Yachida,201325940068_R05C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R06C01,Yachida,201325940068_R06C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R07C01,Yachida,201325940068_R07C01,Illumina_EPIC,PanNEC,pancreas
201325940068_R08C01,Yachida,201325940068_R08C01,Illumina_EPIC,PanNEC,pancreas
201325940106_R03C01,Yachida,201325940106_R03C01,Illumina_EPIC,PanNEC,pancreas
201325940106_R04C01,Yachida,201325940106_R04C01,Illumina_EPIC,PanNEC,pancreas
201325940106_R07C01,Yachida,201325940106_R07C01,Illumina_EPIC,PanNEC,pancreas
201325940106_R08C01,Yachida,201325940106_R08C01,Illumina_EPIC,PanNEC,pancreas
201325940151_R04C01,Yachida,201325940151_R04C01,Illumina_EPIC,PanNEC,pancreas
201325940151_R06C01,Yachida,201325940151_R06C01,Illumina_EPIC,PanNEC,pancreas
201325940151_R07C01,Yachida,201325940151_R07C01,Illumina_EPIC,PanNEC,pancreas
201325940151_R08C01,Yachida,201325940151_R08C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R01C01,Yachida,201325940152_R01C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R04C01,Yachida,201325940152_R04C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R05C01,Yachida,201325940152_R05C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R06C01,Yachida,201325940152_R06C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R07C01,Yachida,201325940152_R07C01,Illumina_EPIC,PanNEC,pancreas
201325940152_R08C01,Yachida,201325940152_R08C01,Illumina_EPIC,PanNEC,pancreas
201364910013_R05C01,Yachida,201364910013_R05C01,Illumina_EPIC,PanNEC,pancreas
201364910013_R06C01,Yachida,201364910013_R06C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R02C01,Yachida,201364910146_R02C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R03C01,Yachida,201364910146_R03C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R05C01,Yachida,201364910146_R05C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R06C01,Yachida,201364910146_R06C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R07C01,Yachida,201364910146_R07C01,Illumina_EPIC,PanNEC,pancreas
201364910146_R08C01,Yachida,201364910146_R08C01,Illumina_EPIC,PanNEC,pancreas
201414140123_R01C01,Yachida,201414140123_R01C01,Illumina_EPIC,PanNEC,pancreas
201414140123_R02C01,Yachida,201414140123_R02C01,Illumina_EPIC,PanNEC,pancreas
201414140123_R05C01,Yachida,201414140123_R05C01,Illumina_EPIC,PanNEC,pancreas
201492560210_R01C01,Yachida,201492560210_R01C01,Illumina_EPIC,PanNEC,pancreas
201492560210_R02C01,Yachida,201492560210_R02C01,Illumina_EPIC,PanNEC,pancreas
202787550064_R03C01,Yachida,202787550064_R03C01,Illumina_EPIC,PanNEC,pancreas
202787550064_R05C01,Yachida,202787550064_R05C01,Illumina_EPIC,PanNEC,pancreas
203960200098_R05C01,Yachida,203960200098_R05C01,Illumina_EPIC,PanNEC,pancreas
203960200098_R07C01,Yachida,203960200098_R07C01,Illumina_EPIC,PanNEC,pancreas
203960200098_R08C01,Yachida,203960200098_R08C01,Illumina_EPIC,PanNEC,pancreas
